Id,Weather
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,1
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,1
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,1
