Id,Weather
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,1
